STD_NO,MAJOR_EDESC,GENDER_EDESC,TAWJIH_COUNTRY,TAWJIH_GPA,TAWJIH_BRANCH
387648,Data Science & Artificial Intelligence,Female,Jordan,91,IB Scie
388099,Data Science & Artificial Intelligence,Male,Jordan,89,Scientific / Medical 
384821,Data Science & Artificial Intelligence,Male,K.S.A,94,SAT2 Sci.
394743,Data Science & Artificial Intelligence,Female,Palestine,97,Scientific
388968,Data Science & Artificial Intelligence,Male,Kuwait,86,Scientific
390948,Data Science & Artificial Intelligence,Male,Jordan,93,Scientific / Medical 
391223,Data Science & Artificial Intelligence,Female,Jordan,93,GCE Sci
395051,Data Science & Artificial Intelligence,Male,Jordan,97,GCE Sci
395183,Data Science & Artificial Intelligence,Female,Jordan,79,SAT2 Sci.
395194,Data Science & Artificial Intelligence,Female,Jordan,80,SAT2 Sci.
390046,Data Science & Artificial Intelligence,Male,Jordan,76,GCE Sci
391630,Data Science & Artificial Intelligence,Female,Jordan,96,SAT2 Sci.
391773,Data Science & Artificial Intelligence,Male,Jordan,92,Scientific / Medical 
384414,Data Science & Artificial Intelligence,Male,Jordan,96,SAT2 Sci.
386174,Data Science & Artificial Intelligence,Male,Jordan,97,GCE Sci
386196,Data Science & Artificial Intelligence,Male,Jordan,91,GCE Sci
386240,Data Science & Artificial Intelligence,Male,Jordan,90,IB Scie
386361,Data Science & Artificial Intelligence,Female,Jordan,97,SAT2 Sci.
386460,Data Science & Artificial Intelligence,Female,Jordan,89,Scientific /Eng.
395909,Data Science & Artificial Intelligence,Male,U.A.E,96,Scientific /Adv.
